0:x=0.000000,y=1.000000
1:x=0.050000,y=1.050000
2:x=0.100000,y=1.105000
3:x=0.150000,y=1.165250
4:x=0.200000,y=1.231012
5:x=0.250000,y=1.302563
6:x=0.300000,y=1.380191
7:x=0.350000,y=1.464201
8:x=0.400000,y=1.554911
9:x=0.450000,y=1.652656
10:x=0.500000,y=1.757789
11:x=0.550000,y=1.870679
12:x=0.600000,y=1.991713
13:x=0.650000,y=2.121298
14:x=0.700000,y=2.259863
15:x=0.750000,y=2.407856
16:x=0.800000,y=2.565749
17:x=0.850000,y=2.734037
18:x=0.900000,y=2.913238
19:x=0.950000,y=3.103900
20:x=1.000000,y=3.306595
Ans:3.521925
