0:x=0.000000,y=1.000000
1:x=0.010000,y=0.999950
2:x=0.020000,y=0.999800
3:x=0.030000,y=0.999550
4:x=0.040000,y=0.999200
5:x=0.050000,y=0.998751
6:x=0.060000,y=0.998202
7:x=0.070000,y=0.997553
8:x=0.080000,y=0.996805
9:x=0.090000,y=0.995958
10:x=0.100000,y=0.995012
11:x=0.110000,y=0.993968
12:x=0.120000,y=0.992826
13:x=0.130000,y=0.991586
14:x=0.140000,y=0.990248
15:x=0.150000,y=0.988813
16:x=0.160000,y=0.987282
17:x=0.170000,y=0.985654
18:x=0.180000,y=0.983930
19:x=0.190000,y=0.982112
20:x=0.200000,y=0.980199
21:x=0.210000,y=0.978191
22:x=0.220000,y=0.976090
23:x=0.230000,y=0.973897
24:x=0.240000,y=0.971611
25:x=0.250000,y=0.969233
26:x=0.260000,y=0.966765
27:x=0.270000,y=0.964206
28:x=0.280000,y=0.961558
29:x=0.290000,y=0.958822
30:x=0.300000,y=0.955997
Ans:0.953086
